2025-03-14 16:07:34 [(212), 8, 13, 50, 81, 34, (3), 98, 123, 120, 899, 901, [95), ] Swapped 212 and 3
2025-03-14 16:07:34 [Swap] (212), 8, 13, 50, 81, 34, (3), 98, 123, 120, 899, 901, 95, 
2025-03-14 16:07:34 [212, (98), 13, 50, 81, 34, 3, (8), 123, 120, 899, 901, [95), ] Swapped 98 and 8
2025-03-14 16:07:34 [Swap] 212, (98), 13, 50, 81, 34, 3, (8), 123, 120, 899, 901, 95, 
2025-03-14 16:07:34 [212, 98, (123), 50, 81, 34, 3, 8, (13), 120, 899, 901, [95), ] Swapped 123 and 13
2025-03-14 16:07:34 [Swap] 212, 98, (123), 50, 81, 34, 3, 8, (13), 120, 899, 901, 95, 
2025-03-14 16:07:34 [212, 98, 123, (120), 81, 34, 3, 8, 13, (50), 899, 901, [95), ] Swapped 120 and 50
2025-03-14 16:07:34 [Swap] 212, 98, 123, (120), 81, 34, 3, 8, 13, (50), 899, 901, 95, 
2025-03-14 16:07:34 [212, 98, 123, 120, (899), 34, 3, 8, 13, 50, (81), 901, [95), ] Swapped 899 and 81
2025-03-14 16:07:34 [Swap] 212, 98, 123, 120, (899), 34, 3, 8, 13, 50, (81), 901, 95, 
2025-03-14 16:07:34 [212, 98, 123, 120, 899, (901), 3, 8, 13, 50, 81, (34), [95), ] Swapped 901 and 34
2025-03-14 16:07:34 [Swap] 212, 98, 123, 120, 899, (901), 3, 8, 13, 50, 81, (34), 95, 
2025-03-14 16:07:34 [212, 98, 123, 120, 899, 901, (95), 8, 13, 50, 81, 34, [3), ] Swapped 95 and 3
2025-03-14 16:07:34 [(901), 98, 123, 120, 899, [212), 95, 8, 13, 50, 81, 34, 3, ] Swapped 901 and 212
2025-03-14 16:07:34 [901, (899), 123, 120, (98), [212), 95, 8, 13, 50, 81, 34, 3, ] Swapped 899 and 98
2025-03-14 16:07:34 [Swap] 901, (899), 123, 120, (98), 212, 95, 8, 13, 50, 81, 34, 3, 
2025-03-14 16:07:34 [901, 899, (212), 120, 98, [123), 95, 8, 13, 50, 81, 34, 3, ] Swapped 212 and 123
2025-03-14 16:07:34 [901, 899, 212, (123), 98, [120), 95, 8, 13, 50, 81, 34, 3, ] Swapped 123 and 120
2025-03-14 16:07:34 [901, 899, 212, 123, (120), [98), 95, 8, 13, 50, 81, 34, 3, ] Swapped 120 and 98
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, (8), 13, 50, 81, 34, [3), ] Swapped 8 and 8
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, (8), 13, 50, 81, 34, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 8, (13), 50, 81, 34, [3), ] Swapped 13 and 13
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, 8, (13), 50, 81, 34, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 8, 13, (50), 81, 34, [3), ] Swapped 50 and 50
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, 8, 13, (50), 81, 34, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 8, 13, 50, (81), 34, [3), ] Swapped 81 and 81
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, 8, 13, 50, (81), 34, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 8, 13, 50, 81, (34), [3), ] Swapped 34 and 34
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, 8, 13, 50, 81, (34), 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 8, 13, 50, 81, 34, [3), ] Swapped 3 and 3
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, (50), 13, (8), 81, [34), 3, ] Swapped 50 and 8
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, (50), 13, (8), 81, 34, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 50, (81), 8, (13), [34), 3, ] Swapped 81 and 13
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, 50, (81), 8, (13), 34, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 50, 81, (34), 13, [8), 3, ] Swapped 34 and 8
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, (81), [50), 34, 13, 8, 3, ] Swapped 81 and 50
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 81, 50, 34, (13), [8), 3, ] Swapped 13 and 13
2025-03-14 16:07:34 [Swap] 901, 899, 212, 123, 120, 98, 95, 81, 50, 34, (13), 8, 3, 
2025-03-14 16:07:34 [901, 899, 212, 123, 120, 98, 95, 81, 50, 34, 13, [8), 3, ] Swapped 8 and 8
Total Comparisons: 35, Total Swaps: 24

